edge_id,source_strut_id,node_u,node_v,phase2b4_automated_review_label,phase2b4_automated_review_status,phase2c_triage_bucket,phase2c_label,phase2c_status,phase2c_confidence_tier,phase2c_reason,phase2c_changed_from_phase2b4,phase2b3_missing_evidence_count,ct_anomaly_rank,ct_missing_material_anomaly_score,occupied_axial_fraction,longest_low_area_gap_fraction,area_mean_voxels2,core_minus_background_contrast,negative_template_residual,bridge_connected_26,threshold_stability_occupied_fraction_range,local_registration_stability_voxels,orientation_key,boundary_bin,spatial_region
E_N008967_N010105,18249,N008967,N010105,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,6,58,5.177083333333334,0.041666666666666664,0.9583333333333334,0.5416666666666666,-1.2949526813880126,3.4,False,0.041666666666666664,0.07914954092052917,ori011,boundary,r022
E_N010102_N010107,18238,N010102,N010107,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,62,4.864583333333333,0.20833333333333334,0.7916666666666666,3.7916666666666665,-0.14808539478143,3.4,False,0.12500000000000003,0.3313148412063725,ori011,boundary,r022
E_N003466_N004589,8173,N003466,N004589,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,65,4.815201465201466,0.3333333333333333,0.6666666666666666,9.083333333333334,-0.6017191977077364,3.6318681318681323,False,0.0,0.6776319103752094,ori101,boundary,r101
E_N005471_N005482,9712,N005471,N005482,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,66,4.754166666666666,0.4583333333333333,0.5416666666666666,4.916666666666667,-0.07240293809024134,3.8,False,0.08333333333333331,0.623429721924757,ori101,near_boundary,r121
E_N003450_N003466,8160,N003450,N003466,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,68,4.654166666666666,0.20833333333333334,0.7916666666666666,4.0,-1.5276273022751896,3.2,False,0.08333333333333334,0.746535745630109,ori110,boundary,r101
E_N008995_N008996,18274,N008995,N008996,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,75,4.25,0.0,1.0,0.0,-2.1859799713876966,2.4,False,0.0,0.39161945084569816,ori110,boundary,r122
E_N001010_N001021,1772,N001010,N001021,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,93,3.7944444444444447,0.0,1.0,0.0,0.3584474885844749,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001010_N001035,1801,N001010,N001035,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,94,3.7944444444444447,0.0,1.0,0.0,-0.39952153110047844,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001011_N001021,1773,N001011,N001021,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,95,3.7944444444444447,0.0,1.0,0.0,-0.41308243727598565,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001012_N001021,1774,N001012,N001021,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,96,3.7944444444444447,0.0,1.0,0.0,0.12941176470588237,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001012_N002155,3789,N001012,N002155,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,97,3.7944444444444447,0.0,1.0,0.0,-0.45707070707070707,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001015_N001021,1775,N001015,N001021,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,98,3.7944444444444447,0.0,1.0,0.0,-0.9197994987468672,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001015_N001035,1802,N001015,N001035,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,99,3.7944444444444447,0.0,1.0,0.0,0.21957671957671956,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001015_N002155,3788,N001015,N002155,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,100,3.7944444444444447,0.0,1.0,0.0,0.0498220640569395,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001015_N002169,3817,N001015,N002169,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,101,3.7944444444444447,0.0,1.0,0.0,-0.5486284289276808,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001024_N001035,1800,N001024,N001035,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,102,3.7944444444444447,0.0,1.0,0.0,0.05664488017429194,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001024_N001049,1829,N001024,N001049,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,103,3.7944444444444447,0.0,1.0,0.0,-0.10535405872193437,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001029_N001035,1803,N001029,N001035,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,104,3.7944444444444447,0.0,1.0,0.0,-1.093189964157706,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001029_N001049,1830,N001029,N001049,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,105,3.7944444444444447,0.0,1.0,0.0,0.25229357798165136,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001029_N002169,3816,N001029,N002169,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,106,3.7944444444444447,0.0,1.0,0.0,0.04339622641509434,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001029_N002183,3845,N001029,N002183,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,107,3.7944444444444447,0.0,1.0,0.0,-0.6932367149758454,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001038_N001049,1828,N001038,N001049,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,108,3.7944444444444447,0.0,1.0,0.0,0.06852248394004283,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001043_N001049,1831,N001043,N001049,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,109,3.7944444444444447,0.0,1.0,0.0,-0.14320388349514562,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N001043_N002183,3844,N001043,N002183,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,110,3.7944444444444447,0.0,1.0,0.0,0.26057906458797325,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002146_N002155,3790,N002146,N002155,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,111,3.7944444444444447,0.0,1.0,0.0,0.3010752688172043,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002146_N003289,5805,N002146,N003289,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,112,3.7944444444444447,0.0,1.0,0.0,-0.9662027833001988,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002149_N002155,3791,N002149,N002155,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,113,3.7944444444444447,0.0,1.0,0.0,-1.1984924623115578,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002149_N002169,3818,N002149,N002169,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,6,114,3.7944444444444447,0.0,1.0,0.0,0.2911764705882353,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002149_N003289,5804,N002149,N003289,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,115,3.7944444444444447,0.0,1.0,0.0,-0.12634408602150538,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002149_N003303,5833,N002149,N003303,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,116,3.7944444444444447,0.0,1.0,0.0,-1.2020460358056266,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002163_N002169,3819,N002163,N002169,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,117,3.7944444444444447,0.0,1.0,0.0,-0.768595041322314,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002163_N002183,3846,N002163,N002183,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,118,3.7944444444444447,0.0,1.0,0.0,-0.09090909090909091,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002163_N003303,5832,N002163,N003303,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,119,3.7944444444444447,0.0,1.0,0.0,-0.7077922077922078,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002163_N003317,5861,N002163,N003317,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,120,3.7944444444444447,0.0,1.0,0.0,-0.9728997289972899,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002177_N002183,3847,N002177,N002183,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,121,3.7944444444444447,0.0,1.0,0.0,-0.5968586387434555,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N002177_N003317,5860,N002177,N003317,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,122,3.7944444444444447,0.0,1.0,0.0,-0.5862884160756501,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N003280_N003289,5806,N003280,N003289,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,123,3.7944444444444447,0.0,1.0,0.0,-0.17058823529411765,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N003280_N004423,7821,N003280,N004423,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,124,3.7944444444444447,0.0,1.0,0.0,-1.08,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N003283_N003289,5807,N003283,N003289,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,125,3.7944444444444447,0.0,1.0,0.0,-1.0628019323671498,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N003283_N003303,5834,N003283,N003303,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,126,3.7944444444444447,0.0,1.0,0.0,-0.5177304964539007,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N003283_N004423,7820,N003283,N004423,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,127,3.7944444444444447,0.0,1.0,0.0,-0.5137844611528822,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N003283_N004437,7849,N003283,N004437,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,128,3.7944444444444447,0.0,1.0,0.0,-1.2219451371571073,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N003297_N003303,5835,N003297,N003303,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,129,3.7944444444444447,0.0,1.0,0.0,-1.4953271028037383,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N003297_N003317,5862,N003297,N003317,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,130,3.7944444444444447,0.0,1.0,0.0,-0.8249336870026526,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N003297_N004437,7848,N003297,N004437,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,131,3.7944444444444447,0.0,1.0,0.0,-0.6367924528301887,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N003297_N004451,7877,N003297,N004451,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,132,3.7944444444444447,0.0,1.0,0.0,-0.7869674185463659,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N003311_N003317,5863,N003311,N003317,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,133,3.7944444444444447,0.0,1.0,0.0,-0.8048780487804879,1.9444444444444444,False,0.0,0.0,ori101,boundary,r020
E_N003311_N004451,7876,N003311,N004451,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,134,3.7944444444444447,0.0,1.0,0.0,-0.7447795823665894,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004414_N004423,7822,N004414,N004423,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,135,3.7944444444444447,0.0,1.0,0.0,-0.5518072289156627,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004414_N005557,9837,N004414,N005557,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,136,3.7944444444444447,0.0,1.0,0.0,-1.1934306569343065,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004417_N004423,7823,N004417,N004423,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,137,3.7944444444444447,0.0,1.0,0.0,-1.04251012145749,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004417_N004437,7850,N004417,N004437,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,138,3.7944444444444447,0.0,1.0,0.0,-0.4393939393939394,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004417_N005557,9836,N004417,N005557,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,139,3.7944444444444447,0.0,1.0,0.0,-0.7990654205607477,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004417_N005571,9865,N004417,N005571,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,140,3.7944444444444447,0.0,1.0,0.0,-1.5994764397905759,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004431_N004437,7851,N004431,N004437,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,141,3.7944444444444447,0.0,1.0,0.0,-1.2284122562674096,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004431_N004451,7878,N004431,N004451,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,142,3.7944444444444447,0.0,1.0,0.0,-0.8228105906313645,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004431_N005571,9864,N004431,N005571,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,143,3.7944444444444447,0.0,1.0,0.0,-1.2681159420289856,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004431_N005585,9893,N004431,N005585,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,144,3.7944444444444447,0.0,1.0,0.0,-1.2668711656441718,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004445_N004451,7879,N004445,N004451,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,145,3.7944444444444447,0.0,1.0,0.0,-0.8792134831460674,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
E_N004445_N005585,9892,N004445,N005585,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,146,3.7944444444444447,0.0,1.0,0.0,-0.9572446555819477,1.9444444444444444,False,0.0,0.0,ori101,boundary,r021
